City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,mount darwin,-16.7725,31.5838,20.89,90,94,0.88,ZW,1675617765
129,lagoa,39.05,-27.9833,15.29,84,79,9.19,PT,1675617765
130,toro,4.6117,-76.0814,27.38,57,50,0.55,CO,1675617765
131,lowestoft,52.4752,1.7516,6.14,82,100,5.35,GB,1675617766
132,hofn,64.2539,-15.2082,7.34,99,100,11.74,IS,1675617634
133,bam,29.106,58.357,12.89,33,0,1.64,IR,1675617766
134,barrhead,55.7992,-4.3929,7.12,82,75,4.47,GB,1675617705
135,chalmette,29.9427,-89.9634,20.0,61,0,2.68,US,1675617766
136,ancud,-41.8697,-73.8203,17.84,80,47,4.16,CL,1675617767
137,anadyr,64.75,177.4833,-33.72,75,0,4.0,RU,1675617584
138,cabatuan,10.8794,122.486,23.84,88,100,4.77,PH,1675617518
139,owando,-0.4819,15.8999,27.56,54,65,1.66,CG,1675617767
140,kozhanka,49.9793,29.7381,-3.7,96,99,4.77,UA,1675617768
141,rio cuarto,-33.1307,-64.3499,31.3,42,20,4.63,AR,1675617768
142,gwadar,25.1216,62.3254,21.88,75,1,7.04,PK,1675617768
143,alofi,-19.0595,-169.9187,23.94,94,100,1.54,NU,1675617769
144,olinda,-8.0089,-34.8553,29.85,70,40,4.63,BR,1675617460
145,vanimo,-2.6741,141.3028,25.76,87,100,1.75,PG,1675617684
146,ostrovnoy,68.0531,39.5131,-15.3,97,81,4.52,RU,1675617769
147,izumo,35.3667,132.7667,-0.03,80,3,2.35,JP,1675617770
148,roald,62.5833,6.1333,6.08,81,75,5.66,NO,1675617770
149,port alfred,-33.5906,26.891,21.77,89,7,2.68,ZA,1675617770
150,qui nhon,13.7667,109.2333,22.18,88,100,1.21,VN,1675617770
151,georgetown,5.4112,100.3354,24.97,99,40,1.03,MY,1675617493
152,dunedin,-45.8742,170.5036,19.33,45,63,4.02,NZ,1675617771
153,bo phloi,14.3236,99.5161,24.77,76,59,1.55,TH,1675617771
154,kayes,14.0,-11.0,35.02,8,35,1.36,ML,1675617772
155,katsuura,35.1333,140.3,8.95,81,19,2.61,JP,1675617772
156,san vicente,-26.6167,-54.1333,30.42,25,99,2.38,AR,1675617772
157,kimbe,-5.5502,150.1429,24.39,91,96,1.43,PG,1675617772
158,mayskiy,47.6931,40.1025,-0.33,90,100,5.39,RU,1675617773
159,coahuayana,18.7333,-103.6833,30.39,33,0,2.18,MX,1675617773
160,laguna,38.421,-121.4238,11.7,82,20,6.69,US,1675617773
161,sola,-13.8833,167.55,28.51,72,100,10.16,VU,1675617774
162,tashtagol,52.7657,87.8894,-16.37,100,95,1.31,RU,1675617774
163,lamu,-2.2717,40.902,26.12,82,77,6.43,KE,1675617774
164,sabzevar,36.2126,57.6819,6.13,33,68,0.83,IR,1675617775
165,loreto,22.2667,-101.9667,19.58,19,0,4.31,MX,1675617776
166,pandan,14.0453,124.1694,25.29,90,100,4.76,PH,1675617776
167,mount gambier,-37.8333,140.7667,11.22,94,41,1.84,AU,1675617777
168,deputatskiy,69.3,139.9,-30.78,99,100,1.51,RU,1675617738
169,kawalu,-7.3817,108.2082,23.13,89,100,0.78,ID,1675617777
170,iranshahr,27.2025,60.6848,18.19,52,0,0.0,IR,1675617777
171,alexandria,31.2156,29.9553,16.55,45,63,9.23,EG,1675617525
172,cockburn town,21.4612,-71.1419,26.98,65,40,7.72,TC,1675617778
173,pangnirtung,66.1451,-65.7125,-33.0,68,100,1.03,CA,1675617778
174,bereda,43.2686,-7.5406,8.97,88,4,3.48,ES,1675617778
175,kurilsk,45.2333,147.8833,-3.67,66,99,7.36,RU,1675617779
176,flin flon,54.7682,-101.865,-10.09,79,100,4.12,CA,1675617779
177,grand gaube,-20.0064,57.6608,26.88,77,74,2.24,MU,1675617779
178,haines junction,60.7522,-137.5108,-12.03,85,97,0.51,CA,1675617780
179,tateyama,34.9833,139.8667,9.71,75,6,2.79,JP,1675617780
180,fuxin,42.0156,121.6589,-5.14,50,97,2.24,CN,1675617780
181,panama city,8.9936,-79.5197,32.32,50,20,8.75,PA,1675617581
182,korla,41.7597,86.1469,-1.1,68,100,1.18,CN,1675617561
183,itarema,-2.9248,-39.9167,29.26,65,85,5.92,BR,1675617781
184,kolpashevo,58.3131,82.9089,-18.77,100,100,1.39,RU,1675617781
185,chadiza,-14.0678,32.4392,19.5,91,98,1.23,ZM,1675617782
186,esperance,-33.8667,121.9,20.41,67,29,9.59,AU,1675617571
187,port hedland,-20.3167,118.5667,27.03,89,5,2.57,AU,1675617782
188,cayenne,4.9333,-52.3333,22.02,100,75,1.03,GF,1675617782
189,matamoros,25.5333,-103.25,17.28,38,0,2.06,MX,1675617783
190,lufilufi,-13.8745,-171.5986,24.88,77,100,6.2,WS,1675617783
191,mogadishu,2.0371,45.3438,25.24,80,56,9.27,SO,1675617783
192,tual,-5.6667,132.75,26.77,83,100,8.19,ID,1675617784
193,giresun,40.5,38.5,-9.94,94,100,2.2,TR,1675617784
194,kiunga,-6.1219,141.2906,22.79,100,100,0.8,PG,1675617784
195,lhokseumawe,5.1801,97.1507,24.99,85,100,1.47,ID,1675617785
196,hambantota,6.1241,81.1185,25.18,84,100,5.91,LK,1675617785
197,raudeberg,61.9875,5.1352,6.04,65,75,7.14,NO,1675617785
198,labuhan,-6.8844,112.2051,25.62,84,100,3.05,ID,1675617786
199,malanje,-9.5402,16.341,18.33,89,100,1.15,AO,1675617510
200,northam,51.0333,-4.2167,7.01,80,90,2.72,GB,1675617786
